player_id,level,days_since_last_purchase,matches_lost,has_spent_money
1,13,24,8,0
2,48,5,7,1
3,32,23,5,0
4,30,25,3,1
5,43,20,4,1
6,28,1,7,0
7,30,20,1,0
8,39,30,6,1
9,43,12,4,1
10,27,4,9,0
11,37,3,0,1
12,25,19,10,0
13,22,27,4,1
14,26,12,5,0
15,42,24,0,0
16,50,17,4,0
17,13,20,2,1
18,18,0,0,0
19,17,22,5,0
20,4,7,3,0
21,21,17,1,0
22,43,24,5,0
23,15,18,9,1
24,46,30,9,1
25,32,9,0,0
26,36,1,1,0
27,36,14,2,1
28,4,2,7,0
29,46,27,9,1
30,47,5,9,1
31,28,30,6,0
32,49,29,5,0
33,25,23,8,1
34,32,11,4,0
35,14,16,3,0
36,42,14,10,1
37,47,6,5,0
38,29,15,6,1
39,21,10,10,0
40,30,1,3,1
41,32,9,6,0
42,21,25,8,1
43,14,24,5,0
44,38,16,0,0
45,27,3,3,0
46,11,14,9,0
47,1,26,7,0
48,4,14,10,0
49,29,5,7,0
50,8,26,4,0
51,2,13,3,0
52,37,17,3,1
53,16,30,4,1
54,37,9,8,1
55,36,5,2,0
56,43,22,1,0
57,25,14,10,1
58,1,23,0,1
59,15,2,8,0
60,35,15,3,0
61,11,16,2,0
62,43,17,1,1
63,7,16,4,0
64,28,17,6,0
65,42,24,0,0
66,14,11,2,1
67,30,17,8,0
68,24,20,7,0
69,40,4,0,1
70,27,20,7,0
71,23,16,3,0
72,19,10,0,0
73,18,28,4,1
74,31,16,4,0
75,5,28,1,1
76,41,13,10,0
77,15,28,5,1
78,25,16,3,0
79,33,25,8,1
80,5,2,8,1
81,4,6,3,1
82,20,14,3,0
83,14,27,0,0
84,4,16,5,0
85,38,30,5,0
86,31,20,9,0
87,24,8,10,1
88,24,29,8,0
89,24,14,7,0
90,27,18,1,0
91,16,0,1,1
92,38,10,8,1
93,29,4,7,0
94,16,17,1,0
95,45,22,8,0
96,39,28,7,0
97,42,16,7,0
98,19,13,3,1
99,28,15,9,1
100,21,6,3,1
101,18,9,6,1
102,47,19,8,1
103,33,17,5,1
104,26,28,3,1
105,37,21,6,1
106,1,4,2,0
107,16,29,8,1
108,37,24,10,1
109,7,6,8,0
110,42,22,4,1
111,13,22,4,0
112,7,4,7,0
113,46,20,3,0
114,27,4,7,0
115,34,14,8,1
116,41,14,0,0
117,29,23,8,0
118,19,28,7,0
119,46,6,5,0
120,26,11,7,0
121,41,2,2,1
122,3,10,6,1
123,23,30,6,0
124,45,28,0,1
125,20,28,9,0
126,2,20,4,1
127,19,14,10,1
128,12,9,10,0
129,35,14,0,1
130,47,0,3,0
131,16,16,9,1
132,49,27,2,1
133,29,30,3,0
134,21,9,4,1
135,9,20,2,1
136,2,6,1,1
137,42,26,6,0
138,1,1,7,1
139,29,4,2,1
140,45,28,7,1
141,10,19,8,0
142,33,19,10,0
143,25,24,10,1
144,10,25,0,0
145,44,2,1,1
146,28,7,9,1
147,17,30,5,1
148,40,0,4,1
149,41,23,8,0
150,49,24,4,0
151,29,14,6,1
152,13,26,4,0
153,14,27,10,0
154,26,11,0,0
155,4,21,4,0
156,3,17,2,1
157,44,17,10,1
158,7,20,7,0
159,33,21,9,0
160,26,26,6,1
161,28,12,2,1
162,24,17,9,1
163,49,30,10,0
